Order,Issue ID,Issue Link,PR,PR_Number,Version,Review?,Release Critical
59,13982,hist() no longer respects range=... when density=True · Issue #13982 · matplotlib/matplotlib (github.com),hist() no longer respects range=... when density=True · Issue #13982 · matplotlib/matplotlib (github.com),8638,,,Release Critical
60,13786,Cannot import matplotlib.animation · Issue #13786 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/13303,13303,,,Release Critical
61,13392,boxplot broken for empty inputs · Issue #13392 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/11921,11921,,,Release Critical
62,12488,inconsistent colorbar tick labels for LogNorm · Issue #12488 · matplotlib/matplotlib (github.com),ENH: adjustable colorbar ticks by jklymak · Pull Request #9903 · matplotlib/matplotlib (github.com),9903,,,Release Critical
63,12429,scatter() does not accept gray strings anymore · Issue #12429 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/11383,11383,,,Release Critical
64,12405,plt.stackplot() does not work with 3.0.0 · Issue #12405 · matplotlib/matplotlib (github.com),https://github.com/matplotlib/matplotlib/pull/10918,10918,,,Release Critical
65,12188,matplotlib 3 pyplot on MacOS bounces rocket icon in dock · Issue #12188 · matplotlib/matplotlib (github.com),backend switching -- don't create a public fallback API by anntzer · Pull Request #11600 · matplotlib/matplotlib (github.com),11600,,,Release Critical
66,11709,Repaint region is wrong on Retina display with Qt5 · Issue #11709 · matplotlib/matplotlib (github.com),Let QPaintEvent tell us what region to repaint. by anntzer · Pull Request #8951 · matplotlib/matplotlib (github.com),8951,,,Release Critical
67,10476,Version 2.2.0rc1 triggers TypeError · Issue #10476 · matplotlib/matplotlib (github.com),Version 2.2.0rc1 triggers TypeError · Issue #10476 · matplotlib/matplotlib (github.com),10476,,,Release Critical
68,9716,Large size of plots saved as pdf · Issue #9716 · matplotlib/matplotlib (github.com),Give a better error message on missing PostScript fonts by jkseppan · Pull Request #6428 · matplotlib/matplotlib (github.com),6428,,,Release Critical
69,9380,Cannot import pyplot. NameError: 'FigureManagerWebAgg' is not defined · Issue #9380 · matplotlib/matplotlib (github.com),"Revert ""Merge pull request #5754 from blink1073/ipython-widget"" by tacaswell · Pull Request #9027 · matplotlib/matplotlib (github.com)",9027,,,Release Critical
70,9380,Cannot import pyplot. NameError: 'FigureManagerWebAgg' is not defined · Issue #9380 · matplotlib/matplotlib (github.com),Cannot import pyplot. NameError: 'FigureManagerWebAgg' is not defined · Issue #9380 · matplotlib/matplotlib (github.com),5754,,,Release Critical
71,9380,Cannot import pyplot. NameError: 'FigureManagerWebAgg' is not defined · Issue #9380 · matplotlib/matplotlib (github.com),Restore webagg backend following the merge of widget nbagg backend by jenshnielsen · Pull Request #6370 · matplotlib/matplotlib (github.com),6370,,,Release Critical
72,9162,Using matplotlib 2.1.0rc1 seems to corrupt PySide · Issue #9162 · matplotlib/matplotlib (github.com),Unify WM_CLASS across backends by languitar · Pull Request #8394 · matplotlib/matplotlib (github.com),8394,,,Release Critical
73,8797,mathtext broken with cairo backend as of master · Issue #8797 · matplotlib/matplotlib (github.com),The font with the same weight name as the user specified weight name … by kshramt · Pull Request #7931 · matplotlib/matplotlib (github.com),7931,,,Release Critical
74,8723,imshow() pixelization in matplotlib 2.0.2 but not in 2.0.0 · Issue #8723 · matplotlib/matplotlib (github.com),[MRG+1] Fix imshow masked interpolation by tacaswell · Pull Request #8024 · matplotlib/matplotlib (github.com),8024,,,Release Critical
75,8631,Image interpolation wrong for pixel values exceeding vmax · Issue #8631 · matplotlib/matplotlib (github.com),[MRG+1] Fix imshow masked interpolation by tacaswell · Pull Request #8024 · matplotlib/matplotlib (github.com),8024,,,Release Critical
76,8117,Trying to plot only error bars (with no line connecting data points) results in empty plot · Issue #8117 · matplotlib/matplotlib (github.com),ENH: errorbar color cycle clean up by tacaswell · Pull Request #5593 · matplotlib/matplotlib (github.com),5593,,,Release Critical
77,8052,Issue with DPI corrections with Qt5 backend · Issue #8052 · matplotlib/matplotlib (github.com),Qt5: Fix event positions on HiDPI screens. by QuLogic · Pull Request #8144 · matplotlib/matplotlib (github.com),8144,,,Release Critical
78,8017,Font family is not set on log-scaled tick labels · Issue #8017 · matplotlib/matplotlib (github.com),No explicit mathdefault in log formatter by mdboom · Pull Request #5587 · matplotlib/matplotlib (github.com),5587,,,Release Critical
79,7937,Large TrueType font does not render correctly when saving in .pdf · Issue #7937 · matplotlib/matplotlib (github.com),Reduce number of font file handles opened by mdboom · Pull Request #5295 · matplotlib/matplotlib (github.com),5295,,,Release Critical
80,7478,alpha' kwarg overrides facecolor='none' when plotting circle · Issue #7478 · matplotlib/matplotlib (github.com),Use edgecolor rather than linewidth to control edge display. by efiring · Pull Request #6904 · matplotlib/matplotlib (github.com),6904,,,Release Critical
81,7224,FancyArrowPatch linestyle always solid · Issue #7224 · matplotlib/matplotlib (github.com),FIX: refactor dash scaling by tacaswell · Pull Request #6710 · matplotlib/matplotlib (github.com),6710,,,Release Critical
82,7166,Hatching in legends is broken · Issue #7166 · matplotlib/matplotlib (github.com),Use edgecolor rather than linewidth to control edge display. by efiring · Pull Request #6904 · matplotlib/matplotlib (github.com),6904,,,Release Critical
83,7146,symlog scale no longer shows labels on the negative side · Issue #7146 · matplotlib/matplotlib (github.com),Proposed change to default log scale tick formatting by zblz · Pull Request #5161 · matplotlib/matplotlib (github.com),5161,,,Release Critical
84,6794,Incorrect text clipping in presence of multiple subplots · Issue #6794 · matplotlib/matplotlib (github.com),Fix #347: Faster text rendering in Agg by mdboom · Pull Request #5361 · matplotlib/matplotlib (github.com),5361,,,Release Critical
85,6641,Edge ticks sometimes disappear · Issue #6641 · matplotlib/matplotlib (github.com),FIX: only draw tick labels if tick is in range by tacaswell · Pull Request #5956 · matplotlib/matplotlib (github.com),5956,,,Release Critical
86,5196,pyside is broken · Issue #5196 · matplotlib/matplotlib (github.com),"TST: properly fence-post qt{4,5} backend tests by tacaswell · Pull Request #5195 · matplotlib/matplotlib (github.com)",5195,,,Release Critical
87,5173,"Error in boxplot, 1.5.0.rc2 · Issue #5173 · matplotlib/matplotlib (github.com)",Addition of RC parameters by Mrngilles · Pull Request #4218 · matplotlib/matplotlib (github.com),4218,,,Release Critical
88,4525,masked arrays broken in py3k + gcc 5.1 on arch linux · Issue #4525 · matplotlib/matplotlib (github.com),masked arrays broken in py3k + gcc 5.1 on arch linux · Issue #4525 · matplotlib/matplotlib (github.com),4521,,,Release Critical
89,4525,masked arrays broken in py3k + gcc 5.1 on arch linux · Issue #4525 · matplotlib/matplotlib (github.com),Deprecate toolbarqt4agg by tacaswell · Pull Request #2680 · matplotlib/matplotlib (github.com),2680,,,Release Critical
90,4525,masked arrays broken in py3k + gcc 5.1 on arch linux · Issue #4525 · matplotlib/matplotlib (github.com),masked arrays broken in py3k + gcc 5.1 on arch linux · Issue #4525 · matplotlib/matplotlib (github.com),3752,,,Release Critical
91,4525,masked arrays broken in py3k + gcc 5.1 on arch linux · Issue #4525 · matplotlib/matplotlib (github.com),Remove usage of raw strides member in _backend_gdk.c by jkseppan · Pull Request #3665 · matplotlib/matplotlib (github.com),3665,,,Release Critical
92,4525,masked arrays broken in py3k + gcc 5.1 on arch linux · Issue #4525 · matplotlib/matplotlib (github.com),Remove PyCXX dependency for core extension modules by mdboom · Pull Request #3646 · matplotlib/matplotlib (github.com),3646,,,Release Critical
93,4029,CPU 100% usage while idling on some backends. · Issue #4092 · matplotlib/matplotlib (github.com),made idle_event() in backend_bases.py return True by ahaldane · Pull Request #3769 · matplotlib/matplotlib (github.com),3769,,,Release Critical
94,3998,Semilog plots with zero values · Issue #3998 · matplotlib/matplotlib (github.com),use _fast_from_codes_and_verts in transform code by jbmohler · Pull Request #3681 · matplotlib/matplotlib (github.com),3681,,,Release Critical
95,3304,1.4.0 RC1+7: *** glibc detected *** python: corrupted double-linked list · Issue #3304 · matplotlib/matplotlib (github.com),Fix memory leaks in the temporary rasterized images. · matplotlib/matplotlib@7b39e78 (github.com),3258,,,
96,21258,[Bug]: broken minor ticks for colorbar with SymlogNorm · Issue #21258 · matplotlib/matplotlib (github.com),Change colorbar for contour to have the proper axes limits... by jklymak · Pull Request #13506 · matplotlib/matplotlib (github.com),13506,,,
97,20520,matplotlib 3.5 breaks yt · Issue #20520 · matplotlib/matplotlib (github.com),Enh better colorbar axes by jklymak · Pull Request #20054 · matplotlib/matplotlib (github.com),20054,,,
98,20519,Toolbar zoom doesn't change autoscale status for versions 3.2.0 and above · Issue #20519 · matplotlib/matplotlib (github.com),Simplify and generalize _set_view_from_bbox. by anntzer · Pull Request #17067 · matplotlib/matplotlib (github.com),17067,,,
